"time","sizeS","sizeM","sizeL"
-17.74,0.686248923887712,0.686248923887712,0.686248923887712
-17.73,0.686932058789959,0.686932058789959,0.686932058789959
-17.72,0.687614445644814,0.687614445644814,0.687614445644814
-17.71,0.688296082872925,0.688296082872925,0.688296082872925
-17.7,0.68897696889494,0.68897696889494,0.68897696889494
-17.69,0.689657102131507,0.689657102131507,0.689657102131507
-17.68,0.690336481003273,0.690336481003273,0.690336481003273
-17.67,0.691015103930889,0.691015103930889,0.691015103930889
-17.66,0.691692969335001,0.691692969335001,0.691692969335001
-17.65,0.692370075636258,0.692370075636258,0.692370075636258
-17.64,0.693046421160084,0.693046421160084,0.693046421160084
-17.63,0.693722004213968,0.693722004213968,0.693722004213968
-17.62,0.694396823366016,0.694396823366016,0.694396823366016
-17.61,0.695070877191339,0.695070877191339,0.695070877191339
-17.6,0.695744164265045,0.695744164265045,0.695744164265045
-17.59,0.696416683162243,0.696416683162243,0.696416683162243
-17.58,0.697088432458041,0.697088432458041,0.697088432458041
-17.57,0.697759410727549,0.697759410727549,0.697759410727549
-17.56,0.698429616545876,0.698429616545876,0.698429616545876
-17.55,0.699099048488129,0.699099048488129,0.699099048488129
-17.54,0.699767705129419,0.699767705129419,0.699767705129419
-17.53,0.700435585044854,0.700435585044854,0.700435585044854
-17.52,0.701102686809544,0.701102686809544,0.701102686809544
-17.51,0.701769008998596,0.701769008998596,0.701769008998596
-17.5,0.702434550187119,0.702434550187119,0.702434550187119
-17.49,0.703099308950223,0.703099308950223,0.703099308950223
-17.48,0.703763283863017,0.703763283863017,0.703763283863017
-17.47,0.704426473500609,0.704426473500609,0.704426473500609
-17.46,0.705088876438108,0.705088876438108,0.705088876438108
-17.45,0.70575049121278,0.70575049121278,0.70575049121278
-17.44,0.706411316220854,0.706411316220854,0.706411316220854
-17.43,0.707071350149813,0.707071350149813,0.707071350149813
-17.42,0.707730591735833,0.707730591735833,0.707730591735833
-17.41,0.708389039715094,0.708389039715094,0.708389039715094
-17.4,0.709046692823774,0.709046692823774,0.709046692823774
-17.39,0.709703549798051,0.709703549798051,0.709703549798051
-17.38,0.710359609374103,0.710359609374103,0.710359609374103
-17.37,0.711014870288109,0.711014870288109,0.711014870288109
-17.36,0.711669331276248,0.711669331276248,0.711669331276248
-17.35,0.712322991074697,0.712322991074697,0.712322991074697
-17.34,0.712975848419634,0.712975848419634,0.712975848419634
-17.33,0.713627902047238,0.713627902047238,0.713627902047238
-17.32,0.714279150693688,0.714279150693688,0.714279150693688
-17.31,0.714929593095162,0.714929593095162,0.714929593095162
-17.3,0.715579227987837,0.715579227987837,0.715579227987837
-17.29,0.716228054107893,0.716228054107893,0.716228054107893
-17.28,0.716876070191507,0.716876070191507,0.716876070191507
-17.27,0.717523274974858,0.717523274974858,0.717523274974858
-17.26,0.718169667194125,0.718169667194125,0.718169667194125
-17.25,0.7188152455653,0.7188152455653,0.7188152455653
-17.24,0.719460008634283,0.719460008634283,0.719460008634283
-17.23,0.720103955222977,0.720103955222977,0.720103955222977
-17.22,0.720747084235468,0.720747084235468,0.720747084235468
-17.21,0.721389394575841,0.721389394575841,0.721389394575841
-17.2,0.722030885148182,0.722030885148182,0.722030885148182
-17.19,0.722671554856577,0.722671554856577,0.722671554856577
-17.18,0.723311402605111,0.723311402605111,0.723311402605111
-17.17,0.723950427297871,0.723950427297871,0.723950427297871
-17.16,0.724588627838943,0.724588627838943,0.724588627838943
-17.15,0.725226003132411,0.725226003132411,0.725226003132411
-17.14,0.725862552082362,0.725862552082362,0.725862552082362
-17.13,0.726498273592881,0.726498273592881,0.726498273592881
-17.12,0.727133166568055,0.727133166568055,0.727133166568055
-17.11,0.727767229911969,0.727767229911969,0.727767229911969
-17.1,0.728400462528708,0.728400462528708,0.728400462528708
-17.09,0.729032863322359,0.729032863322359,0.729032863322359
-17.08,0.729664431197008,0.729664431197008,0.729664431197008
-17.07,0.730295165056739,0.730295165056739,0.730295165056739
-17.06,0.73092506380564,0.73092506380564,0.73092506380564
-17.05,0.731554126347794,0.731554126347794,0.731554126347794
